timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648016058201,22629,Refund Policy,200,OK,Thread Group 1-7,text,true,,112011,274,79,79,https://ajkerdeal.com:443/refundpolicy.aspx,204,0,0
1648016058201,204,Refund Policy-0,301,Moved Permanently,Thread Group 1-7,text,true,,359,135,79,79,http://ajkerdeal.com/refundpolicy.aspx,204,0,0
1648016058405,22425,Refund Policy-1,200,OK,Thread Group 1-7,text,true,,111652,139,79,79,https://ajkerdeal.com:443/refundpolicy.aspx,477,0,0
1648016049656,31270,Complain & Suggestion,200,OK,Thread Group 1-139,text,true,,118603,282,78,78,https://ajkerdeal.com:443/customercomplain.aspx,907,0,191
1648016049656,907,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-139,text,true,,363,139,78,78,http://ajkerdeal.com/customercomplain.aspx,907,0,191
1648016050564,30362,Complain & Suggestion-1,200,OK,Thread Group 1-139,text,true,,118240,143,78,78,https://ajkerdeal.com:443/customercomplain.aspx,7577,0,3489
1648016049624,31366,Complain & Suggestion,200,OK,Thread Group 1-33,text,true,,118603,282,78,78,https://ajkerdeal.com:443/customercomplain.aspx,973,0,205
1648016049624,973,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-33,text,true,,363,139,78,78,http://ajkerdeal.com/customercomplain.aspx,973,0,205
1648016050598,30392,Complain & Suggestion-1,200,OK,Thread Group 1-33,text,true,,118240,143,78,78,https://ajkerdeal.com:443/customercomplain.aspx,5617,0,5240
1648016076250,4771,Refund Policy,200,OK,Thread Group 1-69,text,true,,112011,274,78,78,https://ajkerdeal.com:443/refundpolicy.aspx,211,0,0
1648016076250,211,Refund Policy-0,301,Moved Permanently,Thread Group 1-69,text,true,,359,135,78,78,http://ajkerdeal.com/refundpolicy.aspx,211,0,0
1648016076461,4560,Refund Policy-1,200,OK,Thread Group 1-69,text,true,,111652,139,78,78,https://ajkerdeal.com:443/refundpolicy.aspx,258,0,0
1648016042166,39074,Complain & Suggestion,200,OK,Thread Group 1-120,text,true,,118603,282,77,77,https://ajkerdeal.com:443/customercomplain.aspx,1422,0,1221
1648016042166,1422,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-120,text,true,,363,139,77,77,http://ajkerdeal.com/customercomplain.aspx,1422,0,1221
